RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
355,30,400,200,成都,2000人以上,inn_ukglngxbb8qk,国内真正实现企业、猎头和职业经理人三方互动的职业发展平台,12,5,"['用户体验', '轻松自由', '自我提升', '咨询', '电脑补助']",业务管培生,互联网/游戏/软件,猎聘网,
356,2,200,150,北京,500-2000人,inn_musxhn0di9th,拥有独立知识产权的国际化软件公司,3,4,[],人力资源实习生（越南语）,互联网/游戏/软件,AVEPOINT,
357,4,300,200,北京,150-500人,inn_mwffqfj9eh4b,中国儿童内容领域的知名品牌，致力通过打造“快乐、成长、穿越”的儿童内容,6,5,"['办公氛围好', '工作环境单纯', '年轻团队', '年轻简单']",商务专员,互联网/游戏/软件,凯叔讲故事,
358,7,120,80,南京,50-150人,inn_phmxiysgeuqa,新型研发机构,3,4,[],售前工程师（实习生）,互联网/游戏/软件,信大气象,
359,2,200,100,南京,15-50人,inn_jcmq3u4ldst6,南京隆讯科技有限公司是中国领先的移动应用解决方案供应商,3,5,"['思想碰撞', '充满激情', '潜力股', '团队靠谱', '快速扩张中', '效率']",销售代表,互联网/游戏/软件,隆讯科技,
360,7,120,90,福州,150-500人,inn_ncp1mzvt7mhl,我们是面向游戏玩家、运营商、发行商的矩阵化、多平台媒体业务平台。,3,3,"['创新', '技术团队牛逼', '拥抱变化', '富有挑战', '环境轻松', '年轻人的平台', '活力', '见明星', '社交媒体']",配音编辑（实习生）,互联网/游戏/软件,搜狐畅游,
361,5,50,0,烟台,50-150人,inn_dniawb7powpa,一家以动漫IP为主体，集互联网运营推广、动画改编、游戏改编、衍生品开发为一体的综合性动漫企业,1,5,"['动漫', '学到东西多', '五险& 双休', '午餐补助', '培训资源']",后期合成实习生,互联网/游戏/软件,新浪动漫（松昂动画）,
362,6,500,250,上海,500-2000人,inn_iqcvjwyxnf1v,2012年初成立的找钢网，是国内成立的钢铁全产业链电商平台,3,5,[],管培生（销售）,互联网/游戏/软件,找钢网,
363,2,300,200,上海,15-50人,inn_mcdzf3vaaxw5,Xrenewable Ltd是一家专注于打造虚拟电厂能源智能管理与能源互联网解决方案的新能源高科技企,3,3,"['餐费补贴', '期权奖励', '自由氛围', '国际化业务团', '双休& 五险']",电气工程师,互联网/游戏/软件,钛诚科技,
364,2,500,300,深圳,15-50人,inn_fqjalu7ybwxb,中都云谷是工程设计及其相关产业的互联网平台,12,5,"['毕业留用', '手工咖啡畅饮']",Android APP开发工程师,互联网/游戏/软件,中都云谷,
